best_before,buyer,campaign,taste,weight,box_weight,ball_number,silver,gold
2019-01-01,C,0,0,34.413000000000004,4.788,19,0,0
2019-01-01,C,0,0,34.37,4.765,18,0,0
2019-01-01,B,0,0,34.193000000000005,4.802,18,0,0
2019-01-01,B,0,0,34.253,4.789,18,0,0
2019-01-01,C,0,0,34.248000000000005,4.794,19,0,0
2019-01-01,C,0,0,34.118,4.798,19,0,0
2019-01-01,C,0,0,34.154,4.76,19,0,0
2019-01-01,C,0,0,34.935,4.766,19,0,0
2019-01-01,C,0,0,34.197,4.832,17,0,0
2019-01-01,C,0,0,34.488,4.831,18,0,0
2019-01-01,C,0,0,35.745,4.832,19,0,0
2019-01-01,C,0,0,34.382,4.797,18,0,0
2018-11-01,B,0,0,34.544000000000004,4.892,16,0,0
2018-11-01,B,0,0,34.229,4.88,15,0,0
2018-11-01,B,0,0,34.225,4.865,14,0,0
2018-12-01,B,0,0,34.058,4.853,16,1,0
2018-12-01,B,0,0,35.06,4.82,17,0,0
2019-01-01,C,0,0,34.173,4.8210000000000015,17,0,0
2019-01-01,C,0,0,34.383,4.851,17,0,0
2019-01-01,C,0,0,34.385,4.855,16,0,0
2019-01-01,C,0,0,34.368,4.829,18,0,0
2019-01-01,A,0,0,34.12,4.849,19,0,0
2019-01-01,A,0,0,34.531,4.847,18,0,0
2019-01-01,A,0,0,35.091,4.862,18,0,0
2019-01-01,A,0,0,35.084,4.853,18,0,0
2018-12-01,B,0,0,34.154,4.817,15,0,0
2018-12-01,B,0,0,34.198,4.799,15,0,0
2018-11-01,B,0,0,34.423,4.8580000000000005,17,0,0
2018-11-01,B,0,0,34.402,4.925,16,0,0
2018-11-01,B,0,0,34.338,4.9510000000000005,16,0,0
2018-11-01,B,0,0,34.367,4.928,16,0,0
2019-01-01,B,0,0,34.568000000000005,4.937,15,0,0
2019-01-01,B,0,0,34.321,4.913,17,0,0
2019-01-01,B,0,0,34.913000000000004,4.937,17,0,0
2019-01-01,B,0,0,34.303000000000004,4.94,15,0,0
2019-02-01,A,3,7,32.366,4.852,16,0,0
2019-02-01,A,3,7,32.325,4.845,16,0,0
2019-02-01,A,3,7,32.592,4.8580000000000005,16,0,0
2019-02-01,A,3,7,32.478,4.852,16,0,0
2019-02-01,A,3,7,33.691,4.872,17,0,0
2019-02-01,B,3,7,32.421,4.902,16,0,0
2019-02-01,B,3,7,32.393,4.862,16,0,0
2019-02-01,B,3,7,31.578000000000007,4.841,16,0,0
2019-02-01,B,3,7,32.139,4.886,16,0,0
2019-01-01,B,0,0,34.159,4.878,17,0,0
2019-01-01,B,0,0,34.568000000000005,4.912,18,0,0
2019-01-01,B,0,0,34.178000000000004,4.918,17,0,0
2019-01-01,B,0,0,35.065,4.904,17,0,0
2019-02-01,A,3,0,34.125,4.87,16,0,0
2019-02-01,A,3,0,33.9,4.888,17,0,0
2019-02-01,A,3,0,34.346,4.88,17,0,0
2019-01-01,B,3,0,34.199,4.877,17,0,0
2019-01-01,B,3,0,34.287,4.852,16,0,0
2019-05-01,A,3,8,29.448,4.864,17,0,0
2019-05-01,A,3,8,29.319000000000006,4.888,17,0,0
2019-05-01,A,3,8,28.66,4.921,16,0,0
2019-02-01,A,3,0,34.272,4.802,17,0,0
2019-02-01,A,3,0,34.194,4.81,16,0,0
2019-01-01,B,3,0,34.281,4.833,17,0,0
2019-01-01,B,3,0,34.116,4.835,17,0,0
2019-02-01,A,3,0,34.062,4.8,18,0,0
2019-02-01,A,3,0,34.098,4.8039999999999985,17,0,0
2019-02-01,A,3,0,34.434,4.842,16,0,0
2019-02-01,A,3,0,34.496,4.848,18,0,0
2019-01-01,B,3,0,34.582,4.944,16,0,0
2019-06-01,B,3,9,27.601,4.876,15,0,0
2019-06-01,B,3,9,29.729,4.888,17,0,0
2019-03-01,A,3,0,34.839,4.917,15,0,0
2019-02-01,A,3,0,34.686,4.947,17,0,0
2019-03-01,A,3,0,34.101,4.91,15,0,0
2019-02-01,A,3,0,34.346,4.898,18,0,0
2019-03-01,A,3,0,34.366,4.926,17,0,0
2019-03-01,A,3,0,36.041,4.947,18,0,0
2019-04-01,C,3,0,34.686,4.877,18,0,0
2019-03-01,A,3,0,34.222,4.913,16,0,0
2019-04-01,B,3,0,33.836,4.894,17,0,0
2019-04-01,B,3,0,35.467,4.909,19,0,0
2019-06-01,C,3,9,28.225,4.869,16,0,0
2019-06-01,C,3,9,27.917,4.945,16,0,0
2019-05-01,C,3,0,33.757,4.874,16,0,0
2019-03-01,B,3,0,34.229,4.86,16,0,0
2019-03-01,B,3,0,34.463,4.919,17,0,0
2019-05-01,C,3,0,34.12,4.887,16,0,0
2019-03-01,B,3,0,34.334,4.874,15,0,0
2019-03-01,B,3,0,34.129,4.768,16,1,0
2019-03-01,B,3,0,34.942,4.883,17,0,0
2019-03-01,B,3,0,34.495,4.8889999999999985,17,0,0
2019-09-01,C,0,11,27.87,4.886,15,0,0
2019-09-01,A,0,11,27.0,4.876,14,0,0
2019-09-01,A,0,11,27.944000000000006,4.862,15,0,0
2019-09-01,A,0,11,26.834,4.856,14,0,0
2019-05-01,C,3,0,33.958,4.869,17,0,0
2019-05-01,C,3,0,33.928000000000004,4.904,16,0,0
2019-06-01,A,3,0,33.96,4.904,16,0,0
2019-06-01,A,3,0,33.905,4.877,17,0,0
2019-09-01,A,0,11,27.426,4.894,14,0,0
2019-09-01,A,0,11,27.167,4.88,14,0,0
2019-09-01,A,0,11,26.93,4.887,14,0,0
2019-09-01,B,3,0,34.052,4.876,18,0,0
2019-09-01,B,3,0,33.843,4.85,16,0,0
2019-09-01,B,3,0,33.954,4.877,16,0,0
2019-09-01,A,0,11,26.824,4.84,14,0,0
2019-09-01,A,0,11,26.95,4.832,14,0,0
2019-06-01,A,3,0,33.876,4.8889999999999985,16,0,0
2019-05-01,B,3,0,33.958,4.853,17,0,0
2019-05-01,B,3,0,35.334,4.896,17,0,0
2019-09-01,A,0,11,26.778,4.841,14,0,0
2019-09-01,A,0,11,27.0,4.817,14,0,0
2019-09-01,A,0,11,26.823,4.819,14,0,0
2019-05-01,B,3,0,33.97,4.8889999999999985,16,0,0
2019-05-01,B,3,0,34.108000000000004,4.854,17,0,0
2019-06-01,B,0,0,34.171,4.825,16,0,0
2019-06-01,C,0,0,34.499,4.825,17,0,0
2019-06-01,C,0,0,35.591,4.856,17,0,0
2019-06-01,B,3,0,34.51,4.895,15,0,0
2019-06-01,B,3,0,34.059,4.877,16,0,0
2019-06-01,B,3,0,33.647,4.897,15,0,0
2019-09-01,C,0,12,27.083,4.878,14,0,0
2019-09-01,A,0,12,28.682,4.893,16,0,0
2019-09-01,A,0,12,27.189,4.905,14,0,0
2019-09-01,A,0,1,30.96,4.924,15,0,0
2019-07-01,A,0,0,34.224000000000004,4.898,16,0,0
2019-07-01,A,0,0,34.357,4.876,15,0,0
2019-06-01,A,0,0,35.54,4.7810000000000015,17,0,0
2019-07-01,A,0,0,34.183,4.882,17,0,0
2019-09-01,A,0,11,26.936,4.864,14,0,0
2019-09-01,A,0,11,27.899,4.847,15,0,0
2019-05-01,B,3,0,33.998000000000005,4.84,18,0,0
2019-05-01,B,3,0,34.18,4.913,17,0,0
2019-05-01,B,3,0,34.001,4.904,17,0,0
2019-05-01,A,3,0,34.071,4.865,16,0,0
2019-07-01,A,0,0,34.139,4.871,17,1,0
2019-05-01,A,0,0,34.04,4.857,16,0,0
2019-06-01,C,0,0,34.321,4.864,17,0,0
2019-07-01,C,0,0,34.091,4.8039999999999985,16,0,0
2019-07-01,C,0,0,36.285,4.8180000000000005,17,0,0
2019-07-01,C,0,0,34.926,4.772,17,1,0
2019-10-01,A,0,12,27.742,4.919,15,0,0
2019-10-01,A,0,12,27.214,4.915,14,0,0
2019-10-01,A,0,12,27.467,4.868,15,0,0
2019-10-01,A,0,12,26.977,4.87,14,0,0
2019-10-01,A,0,12,28.116,4.883,15,1,0
2019-07-01,C,0,0,34.298,4.863,18,0,0
2019-10-01,A,0,12,26.999,4.892,14,0,0
2019-09-01,A,0,12,27.72,4.9060000000000015,15,0,0
2019-09-01,A,0,12,27.053,4.936,14,0,0
2019-05-01,B,3,0,33.939,4.898,16,0,0
2019-05-01,B,3,0,34.129,4.914,16,0,0
2019-05-01,A,3,0,34.052,4.828,19,0,0
2019-07-01,A,0,0,34.239000000000004,4.862,17,0,0
2019-07-01,A,0,0,34.51,4.8439999999999985,16,0,0
2019-10-01,A,0,12,27.414,4.883,15,0,0
2019-10-01,A,0,12,27.81,4.938,15,0,0
2019-07-01,A,3,1,32.078,4.873,16,0,0
2019-07-01,A,3,1,32.371,4.88,16,0,0
2019-09-01,A,0,11,26.935,4.874,14,0,0
2019-09-01,A,0,11,28.612,4.793,16,0,0
2019-09-01,A,0,12,28.22,4.961,15,0,0
2019-09-01,A,0,12,27.638,4.9460000000000015,15,0,0
2019-09-01,A,0,12,27.054,4.941,14,0,0
2019-09-01,A,0,12,27.284,4.92,15,0,0
2019-05-01,B,3,0,34.889,4.855,17,0,0
2019-05-01,B,3,0,33.997,4.8260000000000005,17,1,0
2019-07-01,A,3,1,30.925,4.885,15,0,0
2019-07-01,A,3,1,31.836,4.885,16,0,0
2019-07-01,A,3,1,30.905,4.859,15,0,0
2019-07-01,A,3,1,31.069000000000006,4.897,15,0,0
